,flux,reaction,metabolite
EX_MGlcn50_medium,0.0,EX_MGlcn50_medium,MGlcn50_medium
EX_MGlcn50_rl_medium,0.0,EX_MGlcn50_rl_medium,MGlcn50_rl_medium
EX_MGlcn51_medium,0.0,EX_MGlcn51_medium,MGlcn51_medium
EX_MGlcn51_rl_medium,0.0,EX_MGlcn51_rl_medium,MGlcn51_rl_medium
EX_MGlcn53_medium,0.0,EX_MGlcn53_medium,MGlcn53_medium
EX_MGlcn53_rl_medium,0.0,EX_MGlcn53_rl_medium,MGlcn53_rl_medium
EX_MGlcn54_medium,0.0,EX_MGlcn54_medium,MGlcn54_medium
EX_MGlcn54_rl_medium,0.0,EX_MGlcn54_rl_medium,MGlcn54_rl_medium
EX_MGlcn55_medium,0.0,EX_MGlcn55_medium,MGlcn55_medium
EX_MGlcn55_rl_medium,0.0,EX_MGlcn55_rl_medium,MGlcn55_rl_medium
EX_MGlcn56_medium,0.0,EX_MGlcn56_medium,MGlcn56_medium
EX_MGlcn56_rl_medium,0.0,EX_MGlcn56_rl_medium,MGlcn56_rl_medium
EX_MGlcn57_medium,0.0,EX_MGlcn57_medium,MGlcn57_medium
EX_MGlcn57_rl_medium,0.0,EX_MGlcn57_rl_medium,MGlcn57_rl_medium
EX_MGlcn58_medium,0.0,EX_MGlcn58_medium,MGlcn58_medium
EX_MGlcn58_rl_medium,0.0,EX_MGlcn58_rl_medium,MGlcn58_rl_medium
EX_MGlcn59_medium,0.0,EX_MGlcn59_medium,MGlcn59_medium
EX_MGlcn59_rl_medium,0.0,EX_MGlcn59_rl_medium,MGlcn59_rl_medium
EX_MGlcn5_medium,0.0,EX_MGlcn5_medium,MGlcn5_medium
EX_MGlcn5_rl_medium,0.0,EX_MGlcn5_rl_medium,MGlcn5_rl_medium
EX_MGlcn60_medium,0.0,EX_MGlcn60_medium,MGlcn60_medium
EX_MGlcn60_rl_medium,0.0,EX_MGlcn60_rl_medium,MGlcn60_rl_medium
EX_MGlcn61_medium,0.0,EX_MGlcn61_medium,MGlcn61_medium
EX_MGlcn61_rl_medium,0.0,EX_MGlcn61_rl_medium,MGlcn61_rl_medium
EX_MGlcn62_medium,0.0,EX_MGlcn62_medium,MGlcn62_medium
EX_MGlcn62_rl_medium,0.0,EX_MGlcn62_rl_medium,MGlcn62_rl_medium
EX_MGlcn63_medium,0.0,EX_MGlcn63_medium,MGlcn63_medium
EX_MGlcn63_rl_medium,0.0,EX_MGlcn63_rl_medium,MGlcn63_rl_medium
EX_MGlcn64_medium,0.0,EX_MGlcn64_medium,MGlcn64_medium
EX_MGlcn64_rl_medium,0.0,EX_MGlcn64_rl_medium,MGlcn64_rl_medium
EX_MGlcn65_medium,0.0,EX_MGlcn65_medium,MGlcn65_medium
EX_MGlcn65_rl_medium,0.0,EX_MGlcn65_rl_medium,MGlcn65_rl_medium
EX_MGlcn66_medium,0.0,EX_MGlcn66_medium,MGlcn66_medium
EX_MGlcn66_rl_medium,0.0,EX_MGlcn66_rl_medium,MGlcn66_rl_medium
EX_MGlcn67_medium,0.0,EX_MGlcn67_medium,MGlcn67_medium
EX_MGlcn67_rl_medium,0.0,EX_MGlcn67_rl_medium,MGlcn67_rl_medium
EX_MGlcn68_medium,0.0,EX_MGlcn68_medium,MGlcn68_medium
EX_MGlcn68_rl_medium,0.0,EX_MGlcn68_rl_medium,MGlcn68_rl_medium
EX_MGlcn69_medium,0.0,EX_MGlcn69_medium,MGlcn69_medium
EX_MGlcn69_rl_medium,0.0,EX_MGlcn69_rl_medium,MGlcn69_rl_medium
EX_MGlcn6_medium,0.0,EX_MGlcn6_medium,MGlcn6_medium
EX_MGlcn6_rl_medium,0.0,EX_MGlcn6_rl_medium,MGlcn6_rl_medium
EX_MGlcn70_medium,0.0,EX_MGlcn70_medium,MGlcn70_medium
EX_MGlcn70_rl_medium,0.0,EX_MGlcn70_rl_medium,MGlcn70_rl_medium
EX_MGlcn71_medium,0.0,EX_MGlcn71_medium,MGlcn71_medium
EX_MGlcn71_rl_medium,0.0,EX_MGlcn71_rl_medium,MGlcn71_rl_medium
EX_MGlcn72_medium,0.0,EX_MGlcn72_medium,MGlcn72_medium
EX_MGlcn72_rl_medium,0.0,EX_MGlcn72_rl_medium,MGlcn72_rl_medium
EX_MGlcn73_medium,0.0,EX_MGlcn73_medium,MGlcn73_medium
EX_MGlcn73_rl_medium,0.0,EX_MGlcn73_rl_medium,MGlcn73_rl_medium
EX_MGlcn74_medium,0.0,EX_MGlcn74_medium,MGlcn74_medium
EX_MGlcn74_rl_medium,0.0,EX_MGlcn74_rl_medium,MGlcn74_rl_medium
EX_MGlcn75_medium,0.0,EX_MGlcn75_medium,MGlcn75_medium
EX_MGlcn75_rl_medium,0.0,EX_MGlcn75_rl_medium,MGlcn75_rl_medium
EX_MGlcn76_medium,0.0,EX_MGlcn76_medium,MGlcn76_medium
EX_MGlcn76_rl_medium,0.0,EX_MGlcn76_rl_medium,MGlcn76_rl_medium
EX_MGlcn77_medium,0.0,EX_MGlcn77_medium,MGlcn77_medium
EX_MGlcn77_rl_medium,0.0,EX_MGlcn77_rl_medium,MGlcn77_rl_medium
EX_MGlcn78_medium,0.0,EX_MGlcn78_medium,MGlcn78_medium
EX_MGlcn78_rl_medium,0.0,EX_MGlcn78_rl_medium,MGlcn78_rl_medium
EX_MGlcn79_medium,0.0,EX_MGlcn79_medium,MGlcn79_medium
EX_MGlcn79_rl_medium,0.0,EX_MGlcn79_rl_medium,MGlcn79_rl_medium
EX_MGlcn7_medium,0.0,EX_MGlcn7_medium,MGlcn7_medium
EX_MGlcn7_rl_medium,0.0,EX_MGlcn7_rl_medium,MGlcn7_rl_medium
EX_MGlcn80_medium,0.0,EX_MGlcn80_medium,MGlcn80_medium
EX_MGlcn80_rl_medium,0.0,EX_MGlcn80_rl_medium,MGlcn80_rl_medium
EX_MGlcn81_medium,0.0,EX_MGlcn81_medium,MGlcn81_medium
EX_MGlcn81_rl_medium,0.0,EX_MGlcn81_rl_medium,MGlcn81_rl_medium
EX_MGlcn82_medium,0.0,EX_MGlcn82_medium,MGlcn82_medium
EX_MGlcn82_rl_medium,0.0,EX_MGlcn82_rl_medium,MGlcn82_rl_medium
EX_MGlcn83_medium,0.0,EX_MGlcn83_medium,MGlcn83_medium
EX_MGlcn83_rl_medium,0.0,EX_MGlcn83_rl_medium,MGlcn83_rl_medium
EX_MGlcn84_medium,0.0,EX_MGlcn84_medium,MGlcn84_medium
EX_MGlcn84_rl_medium,0.0,EX_MGlcn84_rl_medium,MGlcn84_rl_medium
EX_MGlcn85_medium,0.0,EX_MGlcn85_medium,MGlcn85_medium
EX_MGlcn85_rl_medium,0.0,EX_MGlcn85_rl_medium,MGlcn85_rl_medium
EX_MGlcn86_medium,0.0,EX_MGlcn86_medium,MGlcn86_medium
EX_MGlcn86_rl_medium,0.0,EX_MGlcn86_rl_medium,MGlcn86_rl_medium
EX_MGlcn87_medium,0.0,EX_MGlcn87_medium,MGlcn87_medium
