,flux,reaction,metabolite
EX_glcr_medium,1e-06,EX_glcr_medium,glcr_medium
EX_glctnb_medium,1e-06,EX_glctnb_medium,glctnb_medium
EX_glcur_medium,1e-06,EX_glcur_medium,glcur_medium
EX_gln_L_medium,1e-06,EX_gln_L_medium,gln_L_medium
EX_glu_L_medium,0.0006284634156316558,EX_glu_L_medium,glu_L_medium
EX_glyasn_medium,1e-06,EX_glyasn_medium,glyasn_medium
EX_glyasp_medium,1e-06,EX_glyasp_medium,glyasp_medium
EX_glyb_medium,1e-06,EX_glyb_medium,glyb_medium
EX_glyc3p_medium,1e-06,EX_glyc3p_medium,glyc3p_medium
EX_glyclt_medium,1e-06,EX_glyclt_medium,glyclt_medium
EX_glycys_medium,1e-06,EX_glycys_medium,glycys_medium
EX_glygln_medium,1e-06,EX_glygln_medium,glygln_medium
EX_glyglu_medium,1e-06,EX_glyglu_medium,glyglu_medium
EX_glyleu_medium,1e-06,EX_glyleu_medium,glyleu_medium
EX_glymet_medium,1e-06,EX_glymet_medium,glymet_medium
EX_glyphe_medium,1e-06,EX_glyphe_medium,glyphe_medium
EX_glypro_medium,1e-06,EX_glypro_medium,glypro_medium
EX_glytyr_medium,1e-06,EX_glytyr_medium,glytyr_medium
EX_gsn_medium,1e-06,EX_gsn_medium,gsn_medium
EX_gua_medium,1e-06,EX_gua_medium,gua_medium
EX_h2s_medium,1e-06,EX_h2s_medium,h2s_medium
EX_his_L_medium,7.106487820284465e-06,EX_his_L_medium,his_L_medium
EX_hxan_medium,1e-06,EX_hxan_medium,hxan_medium
EX_icdchol_medium,1e-06,EX_icdchol_medium,icdchol_medium
EX_idon_L_medium,1e-06,EX_idon_L_medium,idon_L_medium
EX_ile_L_medium,1.7585049750552214e-05,EX_ile_L_medium,ile_L_medium
EX_ins_medium,1e-06,EX_ins_medium,ins_medium
EX_inulin_medium,1e-06,EX_inulin_medium,inulin_medium
EX_isochol_medium,1e-06,EX_isochol_medium,isochol_medium
EX_k_medium,1.0000000000000004e-06,EX_k_medium,k_medium
EX_kesto_medium,1e-06,EX_kesto_medium,kesto_medium
EX_kestopt_medium,1e-06,EX_kestopt_medium,kestopt_medium
EX_kestottr_medium,1e-06,EX_kestottr_medium,kestottr_medium
EX_lald_L_medium,1e-06,EX_lald_L_medium,lald_L_medium
EX_lctnb_medium,1e-06,EX_lctnb_medium,lctnb_medium
EX_lcts_medium,6.688974640465617e-05,EX_lcts_medium,lcts_medium
EX_leu_L_medium,6.419329479416049e-05,EX_leu_L_medium,leu_L_medium
EX_lys_L_medium,4.776145656762371e-05,EX_lys_L_medium,lys_L_medium
