Genus,species,average_abundance
Eubacterium,Eubacterium infirmum,0.0026049549549549546
Atopobium,Atopobium vaginae,0.0
Pseudomonas,Pseudomonas aeruginosa,0.00837009009009009
Corynebacterium,Corynebacterium pseudogenitalium,0.0
Scardovia,Scardovia unclassified,0.00030081081081081084
Weissella,Weissella confusa,0.0005677477477477477
Enterococcus,Enterococcus dispar,2.2522522522522524e-06
Butyrivibrio,Butyrivibrio crossotus,0.0009826126126126127
Atopobium,Atopobium parvulum,0.017718828828828824
Streptococcus,Streptococcus infantis,0.017198018018018017
Rothia,Rothia unclassified,0.0010788288288288291
Lactobacillus,Lactobacillus mucosae,0.01449333333333333
Streptococcus,Streptococcus lutetiensis,0.011637747747747748
Coriobacteriaceae,Coriobacteriaceae bacterium phI,0.00157009009009009
Streptococcus,Streptococcus infantarius,0.00012
Burkholderiales,Burkholderiales bacterium 1 1 47,0.030869729729729727
Streptococcus,Streptococcus salivarius,0.7743718018018017
Fusobacterium,Fusobacterium ulcerans,0.09125081081081078
Bacteroides,Bacteroides sp 2 1 16,0.0
Bacillus,Bacillus subtilis,0.0017200900900900902
Leuconostoc,Leuconostoc gelidum,1.4414414414414416e-05
Providencia,Providencia alcalifaciens,0.0
Erysipelotrichaceae,Erysipelotrichaceae bacterium 6 1 45,0.004726126126126127
Actinomyces,Actinomyces europaeus,0.00010234234234234234
Enterococcus,Enterococcus asini,0.0
Clostridiaceae,Clostridiaceae bacterium JC118,0.00227981981981982
Bifidobacterium,Bifidobacterium bifidum,0.09125432432432432
Photobacterium,Photobacterium damselae,0.018013963963963965
Parvimonas,Parvimonas sp oral taxon 110,0.0
Treponema,Treponema succinifaciens,0.0
Aeromonas,Aeromonas caviae,0.0
Desulfovibrio,Desulfovibrio piger,0.03593225225225225
Streptococcus,Streptococcus constellatus,0.0028663963963963973
Enterorhabdus,Enterorhabdus caecimuris,0.0
Naumovozyma,Naumovozyma unclassified,0.0
Fusobacterium,Fusobacterium varium,0.002826756756756757
Porphyromonas,Porphyromonas uenonis,0.005559369369369368
Streptococcus,Streptococcus cristatus,0.0022670270270270273
Lactobacillus,Lactobacillus johnsonii,0.0
Coprococcus,Coprococcus catus,0.11285972972972974
Bacteroides,Bacteroides sp 3 2 5,0.02686648648648649
Butyricimonas,Butyricimonas synergistica,0.0008634234234234234
Acidaminococcus,Acidaminococcus sp D21,0.015686666666666668
Eubacterium,Eubacterium sp 3 1 31,0.02994801801801802
Prevotella,Prevotella denticola,0.0006686486486486488
Lachnospiraceae,Lachnospiraceae bacterium oral taxon 082,0.0003312612612612612
Clostridium,Clostridium hathewayi,0.048311801801801786
Collinsella,Collinsella intestinalis,0.014195765765765766
Clostridium,Clostridium celatum,9.405405405405407e-05
Ralstonia,Ralstonia pickettii,4.540540540540541e-05
Prevotella,Prevotella copri,6.423761531531531
Enterobacter,Enterobacter aerogenes,0.011330630630630629
Enterobacteriaceae,Enterobacteriaceae bacterium 9 2 54FAA,0.00022666666666666668
Cardiobacterium,Cardiobacterium valvarum,0.0
Clostridium,Clostridium nexile,0.47270630630630617
Aeromonas,Aeromonas aquariorum,0.0
Lactobacillus,Lactobacillus plantarum,0.00011108108108108109
Enterococcus,Enterococcus avium,0.0027576576576576577
Roseburia,Roseburia intestinalis,0.957661441441441
Eubacterium,Eubacterium ramulus,0.13640387387387384
Streptococcus,Streptococcus dysgalactiae,0.000847027027027027
Dorea,Dorea unclassified,0.009740810810810812
Odoribacter,Odoribacter splanchnicus,0.46936342342342374
Streptococcus,Streptococcus macedonicus,0.00010261261261261262
Clostridium,Clostridium bartlettii,0.02890279279279279
Parabacteroides,Parabacteroides sp D13,0.01857702702702703
Lactobacillus,Lactobacillus casei paracasei,0.01791153153153153
Rothia,Rothia dentocariosa,0.0014454054054054057
Peptostreptococcus,Peptostreptococcus anaerobius,0.015248468468468468
Bifidobacterium,Bifidobacterium longum,1.6652301801801803
Lachnospiraceae,Lachnospiraceae bacterium 2 1 58FAA,0.10345351351351349
Eubacterium,Eubacterium saphenum,0.0023903603603603603
Coprococcus,Coprococcus comes,0.2727747747747748
Parasutterella,Parasutterella excrementihominis,0.05349288288288289
Porphyromonas,Porphyromonas bennonis,7.000000000000001e-05
Enterobacter,Enterobacter mori,7.936936936936937e-05
Actinomyces,Actinomyces cardiffensis,0.00023657657657657658
Streptococcus,Streptococcus peroris,5.8378378378378376e-05
Coprococcus,Coprococcus sp ART55 1,0.19142702702702702
Collinsella,Collinsella unclassified,0.0012235135135135137
