,flux,reaction,metabolite
EX_gln_L_medium,1e-06,EX_gln_L_medium,gln_L_medium
EX_glu_L_medium,0.0012969119806626804,EX_glu_L_medium,glu_L_medium
EX_glyasn_medium,1e-06,EX_glyasn_medium,glyasn_medium
EX_glyasp_medium,1e-06,EX_glyasp_medium,glyasp_medium
EX_glyb_medium,1e-06,EX_glyb_medium,glyb_medium
EX_glyc3p_medium,1e-06,EX_glyc3p_medium,glyc3p_medium
EX_glyclt_medium,1e-06,EX_glyclt_medium,glyclt_medium
EX_glycys_medium,1e-06,EX_glycys_medium,glycys_medium
EX_glygln_medium,1e-06,EX_glygln_medium,glygln_medium
EX_glyglu_medium,1e-06,EX_glyglu_medium,glyglu_medium
EX_glyleu_medium,1e-06,EX_glyleu_medium,glyleu_medium
EX_glymet_medium,1e-06,EX_glymet_medium,glymet_medium
EX_glyphe_medium,1e-06,EX_glyphe_medium,glyphe_medium
EX_glypro_medium,1e-06,EX_glypro_medium,glypro_medium
EX_glytyr_medium,1e-06,EX_glytyr_medium,glytyr_medium
EX_gsn_medium,1e-06,EX_gsn_medium,gsn_medium
EX_gua_medium,1e-06,EX_gua_medium,gua_medium
EX_his_L_medium,1.686895829955917e-06,EX_his_L_medium,his_L_medium
EX_hxan_medium,1e-06,EX_hxan_medium,hxan_medium
EX_ile_L_medium,4.452790296529274e-06,EX_ile_L_medium,ile_L_medium
EX_ins_medium,1e-06,EX_ins_medium,ins_medium
EX_inulin_medium,1e-06,EX_inulin_medium,inulin_medium
EX_k_medium,1e-06,EX_k_medium,k_medium
EX_kestopt_medium,1e-06,EX_kestopt_medium,kestopt_medium
EX_kestottr_medium,1e-06,EX_kestottr_medium,kestottr_medium
EX_leu_L_medium,1.702543951355805e-05,EX_leu_L_medium,leu_L_medium
EX_lys_L_medium,4.140210753671183e-05,EX_lys_L_medium,lys_L_medium
EX_mal_L_medium,1e-06,EX_mal_L_medium,mal_L_medium
EX_malthx_medium,1e-06,EX_malthx_medium,malthx_medium
EX_met_L_medium,2.5179830954247946e-05,EX_met_L_medium,met_L_medium
EX_metala_medium,1e-06,EX_metala_medium,metala_medium
EX_mg2_medium,1e-06,EX_mg2_medium,mg2_medium
EX_mn2_medium,1e-06,EX_mn2_medium,mn2_medium
EX_mqn7_medium,2.1541394700342272e-07,EX_mqn7_medium,mqn7_medium
EX_nac_medium,8.846092809374075e-07,EX_nac_medium,nac_medium
EX_nmn_medium,1e-06,EX_nmn_medium,nmn_medium
EX_no2_medium,1e-06,EX_no2_medium,no2_medium
EX_no3_medium,1e-06,EX_no3_medium,no3_medium
EX_o2_medium,1e-06,EX_o2_medium,o2_medium
EX_ocdca_medium,1.3050477247248816e-06,EX_ocdca_medium,ocdca_medium
EX_orn_medium,1e-06,EX_orn_medium,orn_medium
EX_pect_medium,1e-06,EX_pect_medium,pect_medium
EX_phe_L_medium,4.6750727425725375e-06,EX_phe_L_medium,phe_L_medium
EX_pi_medium,0.00014744700540102613,EX_pi_medium,pi_medium
EX_pro_L_medium,4.396074134412075e-06,EX_pro_L_medium,pro_L_medium
EX_pydx_medium,9.094421743432137e-07,EX_pydx_medium,pydx_medium
EX_raffin_medium,1e-06,EX_raffin_medium,raffin_medium
EX_ribflv_medium,0.00028719706350893227,EX_ribflv_medium,ribflv_medium
EX_rmn_medium,1e-06,EX_rmn_medium,rmn_medium
EX_salcn_medium,5.989525465488042e-07,EX_salcn_medium,salcn_medium
EX_ser_L_medium,0.0006006616267763946,EX_ser_L_medium,ser_L_medium
EX_so4_medium,1e-06,EX_so4_medium,so4_medium
EX_spmd_medium,1.8254358379704913e-07,EX_spmd_medium,spmd_medium
EX_sucr_medium,0.00045197599904715395,EX_sucr_medium,sucr_medium
EX_thr_L_medium,0.0002859744380120329,EX_thr_L_medium,thr_L_medium
EX_tmao_medium,1e-06,EX_tmao_medium,tmao_medium
EX_trp_L_medium,1.2308656421878594e-06,EX_trp_L_medium,trp_L_medium
EX_tsul_medium,1e-06,EX_tsul_medium,tsul_medium
EX_ttdca_medium,3.188231155307983e-07,EX_ttdca_medium,ttdca_medium
EX_tyr_L_medium,3.751747814282516e-06,EX_tyr_L_medium,tyr_L_medium
EX_ura_medium,1e-06,EX_ura_medium,ura_medium
EX_urea_medium,1e-06,EX_urea_medium,urea_medium
EX_uri_medium,1e-06,EX_uri_medium,uri_medium
EX_val_L_medium,1.4074499915688729e-06,EX_val_L_medium,val_L_medium
EX_xan_medium,1e-06,EX_xan_medium,xan_medium
EX_xyl_D_medium,1e-06,EX_xyl_D_medium,xyl_D_medium
EX_zn2_medium,1e-06,EX_zn2_medium,zn2_medium
