,metabolite,reaction,flux_healthy,flux_CRC,flux_diff,perc_flux_diff
368,btd_RR_medium,EX_btd_RR_medium,0.0,0.0,0.0,
366,aso4_medium,EX_aso4_medium,0.0,0.0,0.0,
461,ncam_medium,EX_ncam_medium,0.0,0.0,0.0,
460,na1_medium,EX_na1_medium,0.0,0.0,0.0,
459,n2o_medium,EX_n2o_medium,-5e-07,-5e-07,0.0,-0.0
458,n2_medium,EX_n2_medium,0.0,0.0,0.0,
457,mso3_medium,EX_mso3_medium,0.0,0.0,0.0,
456,mops_medium,EX_mops_medium,0.0,0.0,0.0,
455,mnl_medium,EX_mnl_medium,0.0,0.0,0.0,
454,metsox_S_L_medium,EX_metsox_S_L_medium,0.0,0.0,0.0,
453,metsox_R_L_medium,EX_metsox_R_L_medium,0.0,0.0,0.0,
452,met_D_medium,EX_met_D_medium,0.0,0.0,0.0,
451,meoh_medium,EX_meoh_medium,-0.000195,-0.000195,0.0,-0.0
450,mantr_medium,EX_mantr_medium,0.0,0.0,0.0,
449,malttr_medium,EX_malttr_medium,0.0,0.0,0.0,
448,malt_medium,EX_malt_medium,0.0,0.0,0.0,
447,lmn30_medium,EX_lmn30_medium,0.0,0.0,0.0,
446,lmn2_medium,EX_lmn2_medium,0.0,0.0,0.0,
445,lanost_medium,EX_lanost_medium,0.0,0.0,0.0,
444,lac_L_medium,EX_lac_L_medium,0.0,0.0,0.0,
443,lac_D_medium,EX_lac_D_medium,0.0,0.0,0.0,
442,ispre_medium,EX_ispre_medium,0.0,0.0,0.0,
441,isoval_medium,EX_isoval_medium,0.0,0.0,0.0,
440,isochol_medium,EX_isochol_medium,0.0,0.0,0.0,
439,isocapr_medium,EX_isocapr_medium,0.0,0.0,0.0,
438,isobut_medium,EX_isobut_medium,0.0,0.0,0.0,
437,isetac_medium,EX_isetac_medium,0.0,0.0,0.0,
463,ni2_medium,EX_ni2_medium,0.0,0.0,0.0,
435,ind3ac_medium,EX_ind3ac_medium,0.0,0.0,0.0,
464,oxa_medium,EX_oxa_medium,0.0,0.0,0.0,
466,pb_medium,EX_pb_medium,0.0,0.0,0.0,
498,uchol_medium,EX_uchol_medium,-4e-06,-4e-06,0.0,-0.0
497,tym_medium,EX_tym_medium,0.0,0.0,0.0,
496,trypta_medium,EX_trypta_medium,0.0,0.0,0.0,
495,tre_medium,EX_tre_medium,0.0,0.0,0.0,
492,thf_medium,EX_thf_medium,0.0,0.0,0.0,
491,tdchola_medium,EX_tdchola_medium,0.0,0.0,0.0,
490,tchola_medium,EX_tchola_medium,0.0,0.0,0.0,
489,taur_medium,EX_taur_medium,0.0,0.0,0.0,
488,sulfac_medium,EX_sulfac_medium,0.0,0.0,0.0,
486,strch2_medium,EX_strch2_medium,0.0,0.0,0.0,
485,srtn_medium,EX_srtn_medium,0.0,0.0,0.0,
