EX_MGlcn159_medium, EX_MGlcn159_medium: MGlcn159_medium <=> , (-1e-06, 1000.0)
EX_MGlcn159_rl_medium, EX_MGlcn159_rl_medium: MGlcn159_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn160_medium, EX_MGlcn160_medium: MGlcn160_medium <=> , (-1e-06, 1000.0)
EX_MGlcn160_rl_medium, EX_MGlcn160_rl_medium: MGlcn160_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn161_medium, EX_MGlcn161_medium: MGlcn161_medium <=> , (-1e-06, 1000.0)
EX_MGlcn161_rl_medium, EX_MGlcn161_rl_medium: MGlcn161_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn163_medium, EX_MGlcn163_medium: MGlcn163_medium <=> , (-1e-06, 1000.0)
EX_MGlcn163_rl_medium, EX_MGlcn163_rl_medium: MGlcn163_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn164_medium, EX_MGlcn164_medium: MGlcn164_medium <=> , (-1e-06, 1000.0)
EX_MGlcn164_rl_medium, EX_MGlcn164_rl_medium: MGlcn164_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn165_medium, EX_MGlcn165_medium: MGlcn165_medium <=> , (-1e-06, 1000.0)
EX_MGlcn165_rl_medium, EX_MGlcn165_rl_medium: MGlcn165_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn166_medium, EX_MGlcn166_medium: MGlcn166_medium <=> , (-1e-06, 1000.0)
EX_MGlcn166_rl_medium, EX_MGlcn166_rl_medium: MGlcn166_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn167_medium, EX_MGlcn167_medium: MGlcn167_medium <=> , (-1e-06, 1000.0)
EX_MGlcn167_rl_medium, EX_MGlcn167_rl_medium: MGlcn167_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn168_medium, EX_MGlcn168_medium: MGlcn168_medium <=> , (-1e-06, 1000.0)
EX_MGlcn168_rl_medium, EX_MGlcn168_rl_medium: MGlcn168_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn169_medium, EX_MGlcn169_medium: MGlcn169_medium <=> , (-1e-06, 1000.0)
EX_MGlcn169_rl_medium, EX_MGlcn169_rl_medium: MGlcn169_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn16_medium, EX_MGlcn16_medium: MGlcn16_medium <=> , (-1e-06, 1000.0)
EX_MGlcn16_rl_medium, EX_MGlcn16_rl_medium: MGlcn16_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn170_medium, EX_MGlcn170_medium: MGlcn170_medium <=> , (-1e-06, 1000.0)
EX_MGlcn170_rl_medium, EX_MGlcn170_rl_medium: MGlcn170_rl_medium <=> , (-1e-06, 1000.0)
