,Genus,species,average_abundance
463,Jonquetella,Jonquetella anthropi,0.000396414342629482
45,Neisseria,Neisseria flavescens,0.0002596812749003984
448,Meiothermus,Meiothermus silvanus,0.00022872509960159362
426,Eikenella,Eikenella corrodens,0.00020286852589641434
164,Bacteroidetes,Bacteroidetes bacterium oral taxon 272,0.0002011553784860558
80,Anaerofustis,Anaerofustis stercorihominis,0.00018752988047808766
56,Tannerella,Tannerella forsythia,0.0001746613545816733
188,Shuttleworthia,Shuttleworthia satelles,0.00015808764940239043
324,Varibaculum,Varibaculum cambriense,0.00013808764940239046
407,Gardnerella,Gardnerella vaginalis,0.0001345816733067729
478,Burkholderia,Burkholderia unclassified,0.0001256175298804781
26,Leuconostoc,Leuconostoc lactis,0.00011537848605577689
154,Arcobacter,Arcobacter butzleri,0.00010916334661354582
199,Weissella,Weissella confusa,0.00010888446215139442
367,Leptotrichia,Leptotrichia wadei,0.00010207171314741035
167,Selenomonas,Selenomonas bovis,9.02390438247012e-05
18,Pseudoramibacter,Pseudoramibacter alactolyticus,8.103585657370518e-05
61,Cryptobacterium,Cryptobacterium curtum,7.358565737051793e-05
23,Propionibacterium,Propionibacterium acnes,7.314741035856574e-05
148,Staphylococcus,Staphylococcus aureus,6.51394422310757e-05
333,Comamonas,Comamonas unclassified,4.884462151394422e-05
159,Pediococcus,Pediococcus acidilactici,4.49800796812749e-05
350,Acinetobacter,Acinetobacter johnsonii,4.446215139442231e-05
390,Treponema,Treponema denticola,4.414342629482071e-05
299,Eggerthia,Eggerthia catenaformis,3.6693227091633464e-05
245,Enterobacteriaceae,Enterobacteriaceae bacterium 9 2 54FAA,3.6533864541832666e-05
348,Kingella,Kingella oralis,3.5617529880478086e-05
287,Parascardovia,Parascardovia denticolens,2.6055776892430274e-05
13,Cellulophaga,Cellulophaga unclassified,2.5258964143426295e-05
131,Catonella,Catonella morbi,1.701195219123506e-05
31,Fretibacterium,Fretibacterium fastidiosum,1.6932270916334664e-05
93,Lautropia,Lautropia mirabilis,1.645418326693227e-05
184,Candida,Candida glabrata,1.3745019920318724e-05
227,Naumovozyma,Naumovozyma unclassified,1.151394422310757e-05
77,Tropheryma,Tropheryma whipplei,1.1474103585657371e-05
298,Facklamia,Facklamia unclassified,7.848605577689243e-06
512,Lachnoanaerobaculum,Lachnoanaerobaculum saburreum,6.215139442231075e-06
246,Cardiobacterium,Cardiobacterium valvarum,5.219123505976095e-06
139,Thermus,Thermus scotoductus,4.980079681274901e-06
465,Carnobacterium,Carnobacterium maltaromaticum,4.621513944223108e-06
388,Pantoea,Pantoea agglomerans,0.0
487,Thiomonas,Thiomonas unclassified,0.0
117,Shigella,Shigella flexneri,0.0
525,Edwardsiella,Edwardsiella tarda,0.0
359,Cedecea,Cedecea davisae,0.0
91,Cellulosilyticum,Cellulosilyticum lentocellum,0.0
349,Hafnia,Hafnia alvei,0.0
379,Desulfobulbus,Desulfobulbus sp oral taxon 041,0.0
508,Granulicella,Granulicella unclassified,0.0
126,Deinococcus,Deinococcus unclassified,0.0
315,Rahnella,Rahnella aquatilis,0.0
274,Dolosigranulum,Dolosigranulum pigrum,0.0
285,Mobiluncus,Mobiluncus curtisii,0.0
99,Capnocytophaga,Capnocytophaga unclassified,0.0
303,Chlorobium,Chlorobium phaeobacteroides,0.0
60,Stenotrophomonas,Stenotrophomonas maltophilia,0.0
419,Moraxella,Moraxella catarrhalis,0.0
58,Cetobacterium,Cetobacterium somerae,0.0
409,Coprobacillus,Coprobacillus sp 29 1,0.0
450,Centipeda,Centipeda periodontii,0.0
220,Photobacterium,Photobacterium damselae,0.0
226,Enterorhabdus,Enterorhabdus caecimuris,0.0
403,Brevibacterium,Brevibacterium unclassified,0.0
405,Marvinbryantia,Marvinbryantia formatexigens,0.0
